惡棍英雄：死侍,動作,https://movies.yahoo.com.tw/i/o/production/movies/May2020/0zSQIeH8AZkc0MvBZu0x-504x720.jpg,★ 最另類的「反英雄」超級英雄「死侍」 嘴砲王打破第四道牆隨時與觀眾哈啦！前特種部隊變成傭兵的韋德威爾遜，由於得了不治之症而自願加入「Weapon X計劃」，受到一個不法的實驗組織進行身體實驗性手術，並讓他的身體擁有快速再生的獨特能力，但付出的代價是失去容貌，並成為「死侍」。這位嘴砲英雄將帶著自己新的超能力，展開最殘酷的報復，將那些毀掉他生活的仇人一一獵殺。
慾望街車,劇情,https://movies.yahoo.com.tw/i/o/production/movies/June2020/59VqPjeer0yz5ZILN8n7-504x720.jpg,由50年代知名導演伊力卡山執導，故事以慾望為主線，敘述風韻猶存的南方美女布蘭奇因家道中落後而崩潰，轉投靠妹妹史黛拉和妹夫史丹利，希望可以在新的地方遺忘過去、重新開始。然而史丹利卻不像史黛拉一般大方慷慨，懷疑表裡不一的布蘭奇私下佔有屬於史黛拉的遺產，兩人因價值觀及生活方式不同而衝突不斷。後來經常出入史丹利家的米奇也喜歡上布蘭奇，種種一切讓布蘭奇發現唯有面對過去、誠實回答史丹利的質問才能真正重新來過。
慾火烈愛,劇情,https://movies.yahoo.com.tw/i/o/production/movies/June2020/W0T2ODEZ2F0VF23RGAAN-505x720.jpg,★《怒》妻夫木聰、《海街日記》夏帆激情不倫話題主演 ★ 《親愛的外人》《古書堂事件手帖》導演三島有紀子最新話題改編新作！村主塔子本擁有平凡幸福的婚姻，和事業有成的丈夫及可愛的女兒過著無憂無慮的日子，卻在一次丈夫的聚會中巧遇前男友鞍田秋彥，從此平靜的日子起了漣漪。重返職場的塔子與鞍田一起工作，才發現別離沒有讓兩人間的愛情消逝，十年的寂寞讓再次靠近的兩人依偎在一起，但這段禁斷的關係也讓兩人命運邁向無法想像結局。
戀戀琴聲,劇情,https://movies.yahoo.com.tw/i/o/production/movies/May2020/bIInDQsArMIaSfCDfwPz-508x720.jpg,亨利柯爾是享譽樂壇的鋼琴演奏家，在某次演奏的舞台上，他突然感到恐慌襲來，發現隨著年紀漸長，或許即將迎來人生的終章！隔天在鋼琴室，恐慌再次來襲，亨利一時不知該從何彈起。這時，一名年輕的樂評家海倫默默坐在他身邊，彈奏起《卡門》，亨利隨即找回屬於他的節奏。年齡、個性與背景截然不同的兩人開始有了交集。海倫建議亨利前往錫爾斯瑪利亞聆聽貝多芬奏鳴曲的鋼琴演奏。亨利領悟到「貝多芬在晚期即使喪失了全部的聽力，卻從未放棄過音樂創作」，重新找回對演奏的熱情！
打噴嚏,劇情,https://movies.yahoo.com.tw/i/o/production/movies/May2020/3seH0VLQMOyt3eNl7vnM-504x720.jpg,故事描述在孤兒院長大的王義智，遇見了會照顧他的心心姐姐，兩個人培養了深厚的情感，心心姐姐也成為義智心中最牽掛的人。心心姐姐只要想到義智，就會不自覺地打噴嚏。長大後，義智下定決心要成為心心姐姐喜歡的「勇敢的男生」，於是開始苦練拳擊。藉由對心心姐姐的愛，義智在擂臺上屢戰屢起，獲得「不倒俠」的封號。此時，邪惡的居爾博士策劃著巨大的陰謀，當心心姐姐陷入危險，義智終於明白自己存在的意義，他永遠不能成為超級英雄，但他永遠是心心姐姐的專屬超人。
捕魔網,恐怖,https://image.agentm.tw/images/movie/90d44fe70a7c1177e7dbe49a86ae1aefa53571ea4386225a769d3d73336deeda/poster/image/71e4644a-0e80-47c3-b775-d6638309ddd1.jpg,★ 阻擋夢魘的「捕夢網」卻成為邪靈入侵的起源！ 蓋兒是心理治療師，即將與男友路克結婚，但路克與前妻有個十歲兒子喬許。她安排一家三口的山中度假，希望藉此治療喬許每晚作噩夢的困擾。喬許每晚都會夢見生母貝琪，但夢裡母親的樣貌變得十分可怕。某日，蓋兒和喬許爬山途中經過一間小店，店主是他們的鄰居露絲，喬許很喜歡店裡的「捕夢網」和「捕靈網」，起心動念偷走一個，在夜裡抱著入睡。醒來後的喬許行為越來越詭異，開始出現神秘意外，而蓋兒的處境也變得越來越危險……
推拿,劇情,https://movies.yahoo.com.tw/i/o/production/movies/June2020/6rqngndzZqEguIYLoaXa-510x720.jpg,★ 第 51屆金馬獎最佳影片 6 項大獎最大贏家 ★ 榮獲 2014 柏林影展傑出藝術貢獻銀熊獎！看不見，卻也逃不開，失明的小馬與人群若即若離，但世界沒有放過他，小小按摩中心裡盲 人群聚，看不見的眼皮下一個人一個故事，而誰正在意著誰，以慾望相招引，半空裡透明的 人際關係因身體相觸時的乍合旋離而現了形，在暗裡明戀，盲人摸愛，青春期對性的摸索、 尋覓女孩神祕氣味如尋找燭燄，少了光，他們愛得更豪放，沒有拘束，也就更徬徨。
明信片謀殺案,驚悚,https://movies.yahoo.com.tw/i/o/production/movies/May2020/U0dO2qNU6QT55hpEyV3i-504x720.jpg,刑警雅各和前妻瓦萊麗的愛女在度蜜月時慘遭殺害，雅各發現命案疑點重重，為了追捕兇手展開調查，意外捲入連環殺人案。每起案件的死者都會跟上一位被害者的屍體殘骸一同擺放成宛如藝術品的奇特姿態，讓案情更加撲朔迷離。而兇手的行蹤成謎，你永遠不知道下一個受害者是誰，除非收到兇手寄來的明信片。這一回，記者黛西收到兇手寄出的明信片寫著：「愛將永不消逝...…」成為了查案唯一線索，雅各決定與黛西聯手，抽絲剝繭拼湊出連環殺人案的背後真相！ 
普立茲記者,劇情,https://movies.tw.campaign.yahoo.net/i/o/production/movies/May2020/jN5zPQHvtE3AcaEL4VZZ-1280x1817.jpg,★ 柏林影展正式競賽 ★ 描述二戰前30年代 記者揭露蘇聯大饑荒事實驚人真相故事！英國記者加雷斯仲斯前往蘇聯，揭開一起國際陰謀的經過。1930年代初期，歐陸情勢詭譎，曾經採訪過希特勒的英國記者加雷思仲斯，決心再挑戰訪問史達林，隻身前往莫斯科，意圖揭開蘇聯經濟快速成長背後的真相。在那裡，政府的鷹犬無處不在，他設法避開監視並進一步深入烏克蘭，卻意外見證超越想像的人間煉獄……。
最瘋狂的旅程,劇情,https://www.nova.com.tw/images/ck_upload_images/files/%E6%9C%80%E7%98%8B%E7%8B%82%E7%9A%84%E6%97%85%E7%A8%8B%20%E4%B8%AD%E6%96%87%E6%B5%B7%E5%A0%B1.jpg,三個正值青春年少、性致勃勃的少年：全身癱瘓的史考特、重度視障的阿莫和罹患腦瘤必須坐輪椅的麥特。在聽聞有間專為殘疾人士提供「特殊」服務的天堂俱樂部後，決定排除萬難也要讓自己轉大人。 三個行動不便的好友，加上看護，四人奇妙組合一起勇闖天涯，遇見前所未有的驚喜，個性南轅北轍的四人，在朝夕相處下，改變彼此無趣的人生。正當萬事俱備、美夢即將成真的前夕，麥特的病情卻惡化，計畫近乎停擺。父母們也從蛛絲馬跡中，找到下榻飯店，企圖阻止更多事情的發生…...
