title,date,theater,location,time,ting
1/2的魔法,05/23,國賓大戲院,台北市成都路88號,11:10,2廳
1/2的魔法,05/23,國賓大戲院,台北市成都路88號,12:10,3廳
1/2的魔法,05/23,國賓大戲院,台北市成都路88號,13:30,2廳
1/2的魔法,05/23,國賓大戲院,台北市成都路88號,15:30,2廳
1/2的魔法,05/23,國賓大戲院,台北市成都路88號,17:30,2廳
1/2的魔法,05/23,國賓大戲院,台北市成都路88號,10:40,1廳
1/2的魔法,05/23,國賓大戲院,台北市成都路88號,12:40,1廳
1/2的魔法,05/23,國賓大戲院,台北市成都路88號,14:40,1廳
1/2的魔法,05/23,國賓大戲院,台北市成都路88號,16:50,1廳
1/2的魔法,05/23,國賓大戲院,台北市成都路88號,18:00,3廳
1/2的魔法,05/23,國賓大戲院,台北市成都路88號,19:00,1廳
1/2的魔法,05/23,國賓大戲院,台北市成都路88號,20:00,3廳
1/2的魔法,05/23,國賓大戲院,台北市成都路88號,21:00,1廳
1/2的魔法,05/23,國賓大戲院,台北市成都路88號,22:00,3廳
1/2的魔法,05/23,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓,11:10,4廳
1/2的魔法,05/23,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓,13:10,4廳
1/2的魔法,05/23,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓,15:15,4廳
1/2的魔法,05/23,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓,17:20,4廳
1/2的魔法,05/23,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓,19:25,4廳
1/2的魔法,05/23,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓,14:00,3廳
1/2的魔法,05/23,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓,16:05,3廳
1/2的魔法,05/23,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓,18:10,3廳
1/2的魔法,05/23,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓,20:15,3廳
1/2的魔法,05/23,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓,21:30,4廳
1/2的魔法,05/23,國賓影城@台北長春廣場,台北市中山區長春路176號,14:20,2廳
1/2的魔法,05/23,國賓影城@台北長春廣場,台北市中山區長春路176號,16:20,2廳
1/2的魔法,05/23,國賓影城@台北長春廣場,台北市中山區長春路176號,17:00,3廳
1/2的魔法,05/23,國賓影城@台北長春廣場,台北市中山區長春路176號,18:20,2廳
1/2的魔法,05/23,國賓影城@台北長春廣場,台北市中山區長春路176號,13:30,A廳
1/2的魔法,05/23,國賓影城@台北長春廣場,台北市中山區長春路176號,15:30,A廳
1/2的魔法,05/23,國賓影城@台北長春廣場,台北市中山區長春路176號,17:30,A廳
1/2的魔法,05/23,國賓影城@台北長春廣場,台北市中山區長春路176號,19:30,A廳
1/2的魔法,05/23,國賓影城@台北長春廣場,台北市中山區長春路176號,20:20,2廳
1/2的魔法,05/23,國賓影城@台北長春廣場,台北市中山區長春路176號,21:30,A廳
1/2的魔法,05/23,國賓影城@台北微風廣場,台北市復興南路一段39號7樓,14:10,4廳
1/2的魔法,05/23,國賓影城@台北微風廣場,台北市復興南路一段39號7樓,16:15,4廳
1/2的魔法,05/23,國賓影城@台北微風廣場,台北市復興南路一段39號7樓,18:20,4廳
1/2的魔法,05/23,國賓影城@台北微風廣場,台北市復興南路一段39號7樓,11:20,5廳
1/2的魔法,05/23,國賓影城@台北微風廣場,台北市復興南路一段39號7樓,13:20,5廳
1/2的魔法,05/23,國賓影城@台北微風廣場,台北市復興南路一段39號7樓,15:25,5廳
1/2的魔法,05/23,國賓影城@台北微風廣場,台北市復興南路一段39號7樓,17:30,5廳
1/2的魔法,05/23,國賓影城@台北微風廣場,台北市復興南路一段39號7樓,19:35,5廳
1/2的魔法,05/23,國賓影城@台北微風廣場,台北市復興南路一段39號7樓,20:30,4廳
1/2的魔法,05/23,國賓影城@台北微風廣場,台北市復興南路一段39號7樓,21:35,5廳
1/2的魔法,05/23,國賓影城@林口昕境廣場,新北市林口區文化三路一段402巷2號4F,13:20,2廳
1/2的魔法,05/23,國賓影城@林口昕境廣場,新北市林口區文化三路一段402巷2號4F,14:40,3廳
1/2的魔法,05/23,國賓影城@林口昕境廣場,新北市林口區文化三路一段402巷2號4F,15:25,2廳
1/2的魔法,05/23,國賓影城@林口昕境廣場,新北市林口區文化三路一段402巷2號4F,17:30,2廳
1/2的魔法,05/23,國賓影城@林口昕境廣場,新北市林口區文化三路一段402巷2號4F,19:35,2廳
1/2的魔法,05/23,國賓影城@林口昕境廣場,新北市林口區文化三路一段402巷2號4F,14:10,7廳
1/2的魔法,05/23,國賓影城@林口昕境廣場,新北市林口區文化三路一段402巷2號4F,16:15,7廳
1/2的魔法,05/23,國賓影城@林口昕境廣場,新北市林口區文化三路一段402巷2號4F,18:20,7廳
1/2的魔法,05/23,國賓影城@林口昕境廣場,新北市林口區文化三路一段402巷2號4F,20:25,7廳
1/2的魔法,05/23,國賓影城@林口昕境廣場,新北市林口區文化三路一段402巷2號4F,21:10,3廳
1/2的魔法,05/23,國賓影城@淡水禮萊廣場,新北市淡水區中正路一段2號,13:10,7廳
1/2的魔法,05/23,國賓影城@淡水禮萊廣場,新北市淡水區中正路一段2號,15:15,7廳
1/2的魔法,05/23,國賓影城@淡水禮萊廣場,新北市淡水區中正路一段2號,17:20,7廳
1/2的魔法,05/23,國賓影城@淡水禮萊廣場,新北市淡水區中正路一段2號,19:25,7廳
1/2的魔法,05/23,國賓影城@淡水禮萊廣場,新北市淡水區中正路一段2號,14:00,5廳
1/2的魔法,05/23,國賓影城@淡水禮萊廣場,新北市淡水區中正路一段2號,16:05,5廳
1/2的魔法,05/23,國賓影城@淡水禮萊廣場,新北市淡水區中正路一段2號,18:10,5廳
1/2的魔法,05/23,國賓影城@淡水禮萊廣場,新北市淡水區中正路一段2號,20:15,5廳
1/2的魔法,05/23,國賓影城@淡水禮萊廣場,新北市淡水區中正路一段2號,21:00,6廳
1/2的魔法,05/23,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓,13:20,3廳
1/2的魔法,05/23,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓,15:20,3廳
1/2的魔法,05/23,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓,16:20,1廳
1/2的魔法,05/23,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓,17:20,3廳
1/2的魔法,05/23,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓,18:20,1廳
1/2的魔法,05/23,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓,19:20,3廳
1/2的魔法,05/23,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓,20:20,1廳
1/2的魔法,05/23,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓,13:50,4廳
1/2的魔法,05/23,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓,14:50,5廳
1/2的魔法,05/23,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓,15:50,4廳
1/2的魔法,05/23,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓,16:50,5廳
1/2的魔法,05/23,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓,17:50,4廳
1/2的魔法,05/23,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓,18:50,5廳
1/2的魔法,05/23,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓,19:50,4廳
1/2的魔法,05/23,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓,20:50,5廳
1/2的魔法,05/23,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓,21:30,3廳
1/2的魔法,05/23,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號,13:20,7廳
1/2的魔法,05/23,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號,14:40,6廳
1/2的魔法,05/23,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號,15:25,7廳
1/2的魔法,05/23,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號,17:30,7廳
1/2的魔法,05/23,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號,19:35,7廳
1/2的魔法,05/23,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號,14:10,8廳
1/2的魔法,05/23,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號,16:15,8廳
1/2的魔法,05/23,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號,18:20,8廳
1/2的魔法,05/23,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號,20:25,8廳
1/2的魔法,05/23,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號,21:35,7廳
1/2的魔法,05/23,國賓影城@台南國賓廣場,台南市中華東路一段66號,13:50,A廳
1/2的魔法,05/23,國賓影城@台南國賓廣場,台南市中華東路一段66號,15:10,B廳
1/2的魔法,05/23,國賓影城@台南國賓廣場,台南市中華東路一段66號,18:10,A廳
1/2的魔法,05/23,國賓影城@台南國賓廣場,台南市中華東路一段66號,19:30,B廳
